Weekly Relative SST data starts week centered on 9Sept1981

                Nino1+2      Nino3      Nino34     Nino4
 Week             SSTA       SSTA       SSTA       SSTA
 13NOV1991         0.4        1.2        1.4        0.9
 20NOV1991         0.6        1.2        1.3        0.8
 27NOV1991         0.5        1.2        1.6        1.0
 04DEC1991         0.8        1.2        1.6        1.2
 11DEC1991         0.9        1.4        2.0        1.1
 18DEC1991         0.8        1.6        2.1        1.2
 25DEC1991         0.3        1.5        2.1        1.3
 01JAN1992         0.3        1.6        2.3        1.3
 08JAN1992         0.4        1.7        2.3        1.2
 15JAN1992         0.2        1.8        2.3        1.0
 22JAN1992         0.1        1.7        2.2        0.9
 29JAN1992         0.8        1.6        2.1        0.8
 05FEB1992         0.1        1.4        1.9        0.8
 12FEB1992         0.6        1.4        2.1        1.0
 19FEB1992         0.4        1.3        2.2        1.3
 26FEB1992         0.8        1.4        2.1        1.3
 04MAR1992         0.7        1.1        1.9        1.5
 11MAR1992         1.0        1.1        1.8        1.3
 18MAR1992         1.3        1.2        1.6        0.7
 25MAR1992         1.6        1.2        1.6        0.8
 01APR1992         2.0        1.4        1.7        1.1
 08APR1992         1.9        1.4        1.7        1.0
 15APR1992         1.8        1.5        1.7        0.9
 22APR1992         1.8        1.4        1.4        0.7
 29APR1992         1.7        1.3        1.4        0.7
 06MAY1992         2.3        1.6        1.4        0.6
 13MAY1992         1.9        1.3        1.2        0.7
 20MAY1992         1.7        1.1        1.3        0.7
 27MAY1992         1.7        1.3        1.1        0.4
 03JUN1992         0.8        0.8        0.8        0.5
 10JUN1992         0.7        0.9        0.8        0.4
 17JUN1992         1.1        1.0        0.8        0.4
 24JUN1992         0.6        0.6        0.7        0.5
 01JUL1992        -0.3        0.1        0.4        0.6
 08JUL1992        -0.1        0.3        0.6        0.7
 15JUL1992        -0.2        0.1        0.4        0.7
 22JUL1992        -0.3       -0.1        0.4        0.6
 29JUL1992         0.2       -0.3        0.3        0.6
 05AUG1992        -0.1       -0.5        0.1        0.5
 12AUG1992         0.4        0.4        0.3        0.1
 19AUG1992         0.2        0.2        0.3        0.3
 26AUG1992         0.0        0.2        0.3        0.3
 02SEP1992         0.4        0.0        0.0        0.1
 09SEP1992        -0.2        0.1        0.1        0.4
 16SEP1992        -0.1        0.1        0.3        0.4
 23SEP1992         0.2        0.3        0.2        0.4
 30SEP1992         0.5        0.3        0.2        0.2
 07OCT1992         0.5        0.1        0.0        0.1
 14OCT1992         0.2       -0.1       -0.1        0.2
 21OCT1992         0.4       -0.2       -0.4        0.1
 28OCT1992         0.7       -0.2       -0.3        0.2
 04NOV1992         0.2        0.2        0.0        0.1
 11NOV1992         0.1        0.4        0.3        0.0
 18NOV1992         0.0        0.1        0.2       -0.1
 25NOV1992         0.3        0.1        0.6        0.4
 02DEC1992         0.5        0.3        0.5        0.5
 09DEC1992         0.1        0.7        0.8        0.4
 16DEC1992        -0.5        0.3        0.8        0.6
 23DEC1992        -0.1        0.0        0.6        0.7
 30DEC1992         0.2        0.1        0.3        0.5
 06JAN1993         0.0        0.6        0.4        0.1
 13JAN1993        -0.1        0.6        0.8        0.7
 20JAN1993        -0.1        0.2        0.6        0.8
 27JAN1993        -0.1        0.3        0.6        0.7
 03FEB1993         0.2        0.5        0.7        0.4
 10FEB1993         0.6        0.8        0.7        0.3
 17FEB1993         0.6        0.9        0.8        0.2
 24FEB1993         0.2        0.6        0.8        0.5
 03MAR1993         0.3        0.5        0.5        0.3
 10MAR1993         0.5        0.5        0.5        0.4
 17MAR1993         0.4        0.4        0.7        0.6
 24MAR1993         1.0        1.0        0.9        0.6
 31MAR1993         1.3        0.8        0.4        0.2
 07APR1993         0.5        0.6        0.4        0.3
 14APR1993         0.3        0.9        1.0        0.4
 21APR1993         0.8        1.1        1.1        0.4
 28APR1993         1.2        1.4        1.2        0.4
 05MAY1993         1.1        1.4        1.1        0.2
 12MAY1993         1.2        1.3        1.0        0.2
 19MAY1993         0.8        1.0        1.0        0.3
 26MAY1993         0.4        1.0        1.0        0.3
 02JUN1993         0.6        0.4        0.6        0.4
 09JUN1993         0.6        0.3        0.5        0.2
 16JUN1993         0.7        0.5        0.4        0.1
 23JUN1993         0.6        0.6        0.5        0.2
 30JUN1993         0.9        0.6        0.5        0.3
 07JUL1993         0.5        0.4        0.4        0.1
 14JUL1993         0.6        0.6        0.6        0.4
 21JUL1993         0.4        0.5        0.5        0.3
 28JUL1993         0.0        0.2        0.5        0.5
 04AUG1993         0.0        0.3        0.3        0.2
 11AUG1993         0.2        0.2        0.2        0.4
 18AUG1993         0.7        0.4        0.3        0.2
 25AUG1993         0.8        0.5        0.3        0.4
 01SEP1993         0.5        0.3        0.3        0.4
 08SEP1993         0.5        0.7        0.6        0.4
 15SEP1993         0.9        0.5        0.5        0.4
 22SEP1993         0.6        0.2        0.5        0.5
 29SEP1993         0.2        0.3        0.4        0.2
 06OCT1993         0.3        0.6        0.4        0.2
 13OCT1993         0.6        0.8        0.6        0.1
 20OCT1993         0.8        0.2        0.3        0.3
 27OCT1993         0.6        0.3        0.6        0.3
 03NOV1993         0.7        0.5        0.7        0.3
 10NOV1993         0.4        0.2        0.4        0.2
 17NOV1993         0.0        0.1        0.1        0.1
 24NOV1993         0.0       -0.1        0.0        0.4
 01DEC1993        -0.4        0.2        0.3        0.6
 08DEC1993        -0.6        0.2        0.5        0.8
 15DEC1993         0.1        0.1        0.2        0.5
 22DEC1993         0.0        0.2        0.3        0.6
 29DEC1993         0.1        0.2        0.0        0.2
 05JAN1994         0.0        0.6        0.3        0.4
 12JAN1994        -0.1        0.4        0.4        0.4
 19JAN1994        -0.2        0.2        0.2        0.4
 26JAN1994        -0.1        0.2        0.1        0.3
 02FEB1994         0.2        0.4        0.3        0.3
 09FEB1994         0.2        0.5        0.5        0.2
 16FEB1994        -0.4        0.0        0.2        0.0
 23FEB1994        -0.1       -0.5       -0.1       -0.3
 02MAR1994        -0.4        0.0        0.1        0.2
 09MAR1994        -0.9        0.0        0.6        0.5
 16MAR1994        -1.0       -0.1        0.6        0.5
 23MAR1994        -1.5       -0.5        0.2        0.1
 30MAR1994        -1.2       -0.3        0.4        0.0
 06APR1994        -1.2       -0.1        0.5        0.3
 13APR1994        -1.3       -0.3        0.7        0.4
 20APR1994        -1.4       -0.6        0.3       -0.1
 27APR1994        -1.4       -0.3        0.5        0.2
 04MAY1994        -1.4       -0.5        0.1        0.4
 11MAY1994        -1.0       -0.3        0.3        0.6
 18MAY1994        -0.8        0.1        0.6        0.7
 25MAY1994        -0.9        0.1        0.5        0.5
 01JUN1994        -0.9        0.0        0.6        0.8
 08JUN1994        -0.5        0.1        0.5        0.4
 15JUN1994        -0.4        0.2        0.7        0.6
 22JUN1994        -0.7        0.1        0.6        0.6
 29JUN1994        -0.5       -0.1        0.2        0.8
 06JUL1994        -0.3       -0.2        0.2        0.7
 13JUL1994        -0.4       -0.6        0.2        1.0
 20JUL1994        -0.4       -0.3        0.4        1.0
 27JUL1994        -0.4       -0.3        0.6        1.1
 03AUG1994        -0.6       -0.2        0.8        1.2
 10AUG1994        -1.1       -0.1        0.8        1.0
 17AUG1994        -0.8       -0.3        0.6        0.9
 24AUG1994        -0.6        0.0        0.6        0.9
 31AUG1994        -0.4        0.1        0.7        0.9
 07SEP1994        -0.3        0.1        0.7        0.9
 14SEP1994        -0.3        0.2        0.6        0.7
 21SEP1994         0.0        0.2        0.6        0.9
 28SEP1994         0.0        0.6        0.8        0.8
 05OCT1994         0.5        0.8        0.9        0.8
 12OCT1994         1.2        0.9        0.8        0.6
 19OCT1994         1.0        0.7        0.9        0.9
 26OCT1994         1.0        0.8        1.0        1.0
 02NOV1994         0.7        0.8        1.2        0.9
 09NOV1994         0.8        1.1        1.1        0.7
 16NOV1994         0.8        0.9        1.2        0.9
 23NOV1994         1.0        1.2        1.3        1.1
 30NOV1994         1.0        1.3        1.7        1.3
 07DEC1994         1.0        1.2        1.5        1.1
 14DEC1994         1.1        1.1        1.7        1.4
 21DEC1994         0.9        1.1        1.6        1.0
 28DEC1994         1.0        1.2        1.3        0.9
 04JAN1995         0.6        0.9        1.2        0.8
 11JAN1995         1.0        0.9        1.2        0.9
 18JAN1995         0.7        0.9        1.2        1.0
 25JAN1995         0.7        0.6        0.9        0.9
 01FEB1995         0.8        0.9        1.1        1.0
 08FEB1995         0.7        0.7        0.9        1.0
 15FEB1995         0.0        0.3        0.7        1.0
 22FEB1995        -0.3        0.4        0.8        0.9
 01MAR1995        -0.5        0.0        0.8        1.1
 08MAR1995        -0.3       -0.2        0.7        0.9
 15MAR1995         0.2       -0.3        0.3        0.8
 22MAR1995        -0.2       -0.1        0.4        0.8
 29MAR1995        -0.7       -0.2        0.4        0.9
 05APR1995        -1.0       -0.1        0.6        0.7
 12APR1995        -1.1       -0.3        0.4        0.6
 19APR1995        -1.1       -0.4        0.3        0.6
 26APR1995        -1.7       -0.9        0.2        0.7
 03MAY1995        -1.7       -1.0        0.2        0.8
 10MAY1995        -1.2       -0.9        0.0        0.8
 17MAY1995        -1.0       -0.9       -0.2        0.7
 24MAY1995        -0.7       -0.6       -0.2        0.4
 31MAY1995        -1.1       -0.5       -0.1        0.4
 07JUN1995        -0.6       -0.6       -0.2        0.5
 14JUN1995        -0.4       -0.4       -0.1        0.3
 21JUN1995        -1.0       -0.7       -0.4        0.2
 28JUN1995        -0.8       -0.5       -0.3       -0.1
 05JUL1995        -0.2       -0.2       -0.1        0.1
 12JUL1995        -0.6       -0.3       -0.1        0.0
 19JUL1995        -0.7       -0.3       -0.1        0.1
 26JUL1995        -0.4       -0.4       -0.2       -0.1
 02AUG1995        -0.7       -0.6       -0.3       -0.1
 09AUG1995        -0.5       -0.7       -0.4        0.0
 16AUG1995        -0.8       -0.7       -0.4        0.0
 23AUG1995        -0.5       -0.7       -0.5       -0.1
 30AUG1995        -0.3       -0.8       -0.6       -0.1
 06SEP1995         0.2       -0.7       -0.5       -0.4
 13SEP1995        -0.3       -0.7       -0.5       -0.2
 20SEP1995        -0.1       -0.6       -0.3        0.0
 27SEP1995        -0.2       -0.8       -0.6        0.2
 04OCT1995        -0.7       -1.0       -0.9       -0.2
 11OCT1995        -0.7       -0.5       -0.7       -0.2
 18OCT1995        -0.6       -0.6       -0.8       -0.4
 25OCT1995        -0.5       -0.8       -0.7       -0.4
 01NOV1995         0.1       -0.7       -0.8       -0.6
 08NOV1995         0.1       -1.0       -0.8       -0.3
 15NOV1995         0.3       -1.0       -1.0       -0.6
 22NOV1995         0.0       -1.0       -1.0       -0.7
 29NOV1995        -0.2       -0.9       -0.9       -0.3
 06DEC1995        -1.0       -1.0       -0.9       -0.6
 13DEC1995        -0.8       -1.0       -1.0       -0.4
 20DEC1995        -0.7       -0.8       -0.6       -0.2
 27DEC1995        -0.3       -0.7       -0.8       -0.3
 03JAN1996        -0.2       -0.6       -0.9       -0.3
 10JAN1996        -0.5       -0.5       -0.8       -0.3
 17JAN1996        -0.5       -0.2       -0.4       -0.3
 24JAN1996        -1.0       -0.5       -0.4       -0.1
 31JAN1996        -0.5       -0.7       -0.8       -0.2
 07FEB1996        -0.2       -0.9       -1.1       -0.6
 14FEB1996        -0.5       -0.6       -0.6       -0.4
 21FEB1996        -0.4       -0.5       -0.6       -0.7
 28FEB1996        -0.3       -0.3       -0.4       -0.5
 06MAR1996         0.0       -0.3       -0.6       -0.6
 13MAR1996        -0.1       -0.2       -0.6       -0.5
 20MAR1996        -0.1       -0.4       -0.6       -0.5
 27MAR1996        -0.5       -0.7       -0.7       -0.5
 03APR1996        -1.4       -0.7       -0.3       -0.4
 10APR1996        -1.8       -0.5       -0.1       -0.2
 17APR1996        -1.6       -0.7       -0.3       -0.4
 24APR1996        -1.6       -0.9       -0.2       -0.3
 01MAY1996        -1.6       -1.0       -0.1       -0.1
 08MAY1996        -1.2       -0.7       -0.1        0.0
 15MAY1996        -1.0       -0.5       -0.3       -0.3
 22MAY1996        -0.9       -0.7       -0.5       -0.1
 29MAY1996        -0.8       -0.7       -0.3        0.1
 05JUN1996        -1.2       -0.7       -0.3       -0.1
 12JUN1996        -1.0       -0.6       -0.4       -0.4
 19JUN1996        -1.2       -0.6       -0.3       -0.5
 26JUN1996        -1.4       -0.6       -0.2       -0.1
 03JUL1996        -1.4       -0.4       -0.1       -0.2
 10JUL1996        -1.3       -0.7       -0.3       -0.2
 17JUL1996        -1.0       -0.4       -0.2       -0.4
 24JUL1996        -1.0       -0.4        0.0       -0.2
 31JUL1996        -1.3       -0.4       -0.2       -0.2
 07AUG1996        -1.1       -0.3       -0.1       -0.2
 14AUG1996        -0.9       -0.3       -0.1        0.0
 21AUG1996        -0.6       -0.4       -0.1        0.1
 28AUG1996        -1.2       -0.5        0.1        0.1
 04SEP1996        -1.1       -0.4        0.0       -0.1
 11SEP1996        -0.7       -0.4       -0.3       -0.4
 18SEP1996        -0.9       -0.3        0.0        0.2
 25SEP1996        -0.9       -0.3       -0.2        0.0
 02OCT1996        -0.9       -0.3       -0.3       -0.1
 09OCT1996        -0.8       -0.5       -0.4        0.1
 16OCT1996        -0.1       -0.5       -0.3       -0.1
 23OCT1996        -0.2       -0.5       -0.3       -0.2
 30OCT1996        -0.7       -0.4       -0.2       -0.2
 06NOV1996        -0.8       -0.4       -0.3       -0.5
 13NOV1996        -1.3       -0.3        0.0        0.1
 20NOV1996        -1.3       -0.4        0.0       -0.1
 27NOV1996        -1.0       -0.6       -0.2       -0.1
 04DEC1996        -1.3       -0.6        0.0        0.5
 11DEC1996        -0.7       -0.9       -0.4        0.2
 18DEC1996        -0.9       -0.9       -0.4        0.2
 25DEC1996        -1.0       -1.0       -0.5        0.1
 01JAN1997        -0.8       -0.7       -0.3        0.2
 08JAN1997        -0.7       -0.6       -0.2        0.4
 15JAN1997        -0.8       -0.7       -0.4        0.2
 22JAN1997        -0.8       -0.7       -0.2        0.5
 29JAN1997        -0.4       -0.7        0.1        0.6
 05FEB1997        -0.1       -0.7       -0.1        0.5
 12FEB1997        -0.1       -0.5       -0.1        0.7
 19FEB1997         0.1       -0.3        0.1        0.7
 26FEB1997        -0.2       -0.3        0.0        0.6
 05MAR1997         0.6       -0.3       -0.4        0.2
 12MAR1997         0.5       -0.4       -0.4        0.3
 19MAR1997         0.7       -0.1        0.1        0.4
 26MAR1997         0.8        0.1        0.2        1.0
 02APR1997         1.1       -0.3        0.1        1.1
 09APR1997         0.9       -0.3        0.2        1.1
 16APR1997         1.1        0.0        0.3        0.9
 23APR1997         1.1        0.3        0.5        1.1
 30APR1997         1.6        0.6        0.6        1.0
 07MAY1997         1.9        0.5        0.6        1.0
 14MAY1997         2.2        0.6        0.6        0.6
 21MAY1997         2.5        0.5        0.6        0.9
 28MAY1997         2.6        1.0        1.0        0.8
 04JUN1997         2.5        1.3        1.1        0.5
 11JUN1997         3.0        1.3        0.8        0.2
 18JUN1997         3.0        1.5        1.1        0.3
 25JUN1997         3.4        1.6        1.1        0.5
 02JUL1997         3.5        1.8        1.1        0.2
 09JUL1997         3.5        1.8        1.3        0.5
 16JUL1997         3.7        2.0        1.4        0.4
 23JUL1997         3.8        1.9        1.5        0.6
 30JUL1997         3.7        2.2        1.4        0.4
 06AUG1997         3.9        2.3        1.6        0.3
 13AUG1997         4.1        2.5        1.7        0.2
 20AUG1997         3.8        2.6        1.8        0.4
 27AUG1997         3.3        2.6        1.9        0.4
 03SEP1997         3.6        2.8        2.0        0.4
 10SEP1997         3.8        2.6        1.8        0.5
 17SEP1997         3.6        2.6        1.9        0.6
 24SEP1997         3.8        2.7        1.8        0.5
 01OCT1997         3.5        2.8        2.0        0.2
 08OCT1997         3.5        2.9        2.0        0.0
 15OCT1997         3.4        2.8        2.1        0.3
 22OCT1997         3.6        2.9        1.9        0.0
 29OCT1997         3.6        2.8        1.8       -0.1
 05NOV1997         3.7        3.1        2.1        0.0
 12NOV1997         3.8        3.2        2.1        0.3
 19NOV1997         3.7        3.1        2.1        0.6
 26NOV1997         3.7        3.3        2.1        0.4
 03DEC1997         4.0        3.1        2.0        0.2
 10DEC1997         4.1        3.1        1.9       -0.2
 17DEC1997         3.9        3.2        2.1        0.1
 24DEC1997         3.8        3.2        2.0        0.1
 31DEC1997         3.7        3.0        1.9        0.1
 07JAN1998         3.6        2.9        1.9        0.0
 14JAN1998         3.1        2.9        2.0        0.1
 21JAN1998         2.6        3.0        2.2        0.0
 28JAN1998         2.3        2.7        2.0        0.3
 04FEB1998         2.2        2.8        2.2        0.3
 11FEB1998         1.9        2.4        1.8        0.3
 18FEB1998         1.6        1.8        1.3        0.1
 25FEB1998         1.6        1.7        1.1       -0.2
 04MAR1998         2.0        1.9        1.2        0.0
 11MAR1998         2.1        1.7        1.0        0.1
 18MAR1998         1.9        1.6        0.8       -0.3
 25MAR1998         1.7        1.7        1.2       -0.1
 01APR1998         2.2        1.6        1.0       -0.2
 08APR1998         2.6        1.7        0.6       -0.5
 15APR1998         2.7        1.3        0.2       -0.6
 22APR1998         1.9        1.1        0.3       -0.5
 29APR1998         2.1        1.0        0.4       -0.1
 06MAY1998         2.8        1.5        0.8       -0.3
 13MAY1998         3.2        1.3        0.4       -0.6
 20MAY1998         3.3        0.8        0.2       -0.8
 27MAY1998         3.0        0.1       -0.2       -0.5
 03JUN1998         2.8       -0.3       -0.8       -0.6
 10JUN1998         2.5       -0.5       -1.1       -0.7
 17JUN1998         1.6       -0.5       -0.7       -0.6
 24JUN1998         1.4       -0.3       -1.0       -0.8
 01JUL1998         1.2       -0.4       -1.2       -1.0
 08JUL1998         1.5       -0.2       -1.1       -0.9
 15JUL1998         1.5       -0.6       -1.3       -0.8
 22JUL1998         1.3       -0.7       -1.4       -1.1
 29JUL1998         1.9       -0.7       -1.5       -1.2
 05AUG1998         1.5       -0.5       -1.4       -0.9
 12AUG1998         0.8       -0.8       -1.4       -0.9
 19AUG1998         0.7       -0.8       -1.6       -1.2
 26AUG1998         0.7       -0.2       -1.1       -1.2
 02SEP1998         1.0       -0.3       -1.0       -0.8
 09SEP1998         0.2       -0.5       -0.7       -0.4
 16SEP1998         0.5       -0.7       -1.0       -0.6
 23SEP1998         0.4       -0.7       -1.3       -1.1
 30SEP1998         1.0       -0.9       -1.4       -1.3
 07OCT1998         1.2       -1.0       -1.4       -1.3
 14OCT1998         0.9       -0.9       -1.3       -1.5
 21OCT1998         0.8       -0.7       -1.3       -1.7
 28OCT1998         1.0       -0.7       -1.3       -1.6
 04NOV1998         0.3       -0.3       -1.2       -1.5
 11NOV1998         0.1       -0.5       -1.3       -1.7
 18NOV1998         0.1       -0.8       -1.3       -1.5
 25NOV1998        -0.4       -0.9       -1.4       -1.4
 02DEC1998         0.0       -1.0       -1.4       -1.4
 09DEC1998         0.9       -1.1       -1.7       -1.6
 16DEC1998         0.9       -0.9       -1.7       -1.6
 23DEC1998         0.8       -1.0       -1.9       -1.5
 30DEC1998         0.3       -1.1       -1.8       -1.6
 06JAN1999        -0.1       -1.2       -1.7       -1.6
 13JAN1999        -0.2       -1.0       -1.4       -1.5
 20JAN1999        -0.8       -0.7       -1.2       -1.7
 27JAN1999        -0.7       -0.6       -1.2       -1.7
 03FEB1999        -0.3       -0.6       -0.9       -1.4
 10FEB1999        -0.5       -1.1       -1.3       -1.6
 17FEB1999         0.0       -0.5       -0.9       -1.6
 24FEB1999         0.3        0.1       -0.6       -1.5
 03MAR1999         0.8        0.1       -0.7       -1.5
 10MAR1999         0.3       -0.2       -0.8       -1.5
 17MAR1999         0.3        0.1       -0.7       -1.1
 24MAR1999         0.3       -0.2       -0.8       -1.2
 31MAR1999        -0.1       -0.3       -1.0       -1.5
 07APR1999        -0.9       -0.5       -0.9       -1.5
 14APR1999        -1.6       -0.7       -0.6       -1.0
 21APR1999        -2.1       -0.4       -0.5       -1.0
 28APR1999        -1.4       -0.3       -0.6       -0.9
 05MAY1999        -1.0       -0.4       -0.5       -0.7
 12MAY1999        -0.2       -0.1       -0.6       -0.7
 19MAY1999        -0.2       -0.3       -0.8       -0.9
 26MAY1999        -0.2       -0.4       -0.7       -0.7
 02JUN1999        -0.1       -0.5       -0.8       -0.5
 09JUN1999        -0.1       -0.4       -0.8       -0.8
 16JUN1999        -0.6       -0.3       -0.7       -0.8
 23JUN1999        -1.0       -0.6       -0.8       -0.4
 30JUN1999        -0.8       -0.4       -0.7       -0.5
 07JUL1999        -0.7       -0.3       -0.6       -0.8
 14JUL1999        -0.4       -0.6       -0.8       -1.1
 21JUL1999        -0.8       -0.7       -0.8       -1.1
 28JUL1999        -0.4       -0.9       -1.0       -0.7
 04AUG1999        -0.5       -0.5       -0.6       -0.4
 11AUG1999        -1.0       -0.7       -0.9       -0.5
 18AUG1999        -0.5       -0.6       -1.1       -0.7
 25AUG1999         0.1       -0.7       -1.0       -0.8
 01SEP1999        -0.3       -0.8       -0.9       -0.7
 08SEP1999        -0.5       -0.8       -0.7       -0.9
 15SEP1999        -0.8       -1.0       -0.8       -0.7
 22SEP1999        -0.5       -0.9       -0.7       -0.4
 29SEP1999        -0.6       -0.8       -0.7       -0.4
 06OCT1999        -0.4       -1.1       -0.7       -0.4
 13OCT1999        -0.4       -1.1       -0.7       -0.3
 20OCT1999        -0.4       -1.1       -1.0       -0.6
 27OCT1999        -0.1       -1.1       -1.2       -0.8
 03NOV1999        -0.6       -1.2       -1.2       -0.9
 10NOV1999        -0.8       -1.0       -1.2       -1.0
 17NOV1999        -0.6       -1.2       -1.3       -0.8
 24NOV1999        -0.5       -1.8       -1.7       -0.9
 01DEC1999        -0.6       -1.8       -1.7       -0.9
 08DEC1999        -0.8       -1.6       -1.5       -1.1
 15DEC1999        -0.3       -1.5       -1.5       -1.2
 22DEC1999         0.2       -1.1       -1.4       -1.2
 29DEC1999         0.2       -1.3       -1.5       -1.0
 05JAN2000        -0.1       -1.6       -1.6       -0.9
 12JAN2000        -0.2       -1.4       -1.6       -1.1
 19JAN2000        -0.6       -1.5       -1.5       -0.9
 26JAN2000        -0.6       -1.6       -1.7       -1.1
 02FEB2000        -0.1       -0.8       -1.5       -1.3
 09FEB2000        -0.6       -0.8       -1.3       -1.5
 16FEB2000        -0.2       -0.9       -1.4       -1.3
 23FEB2000         0.5       -1.1       -1.8       -1.5
 01MAR2000         0.0       -0.9       -1.5       -1.5
 08MAR2000         0.0       -0.6       -1.1       -1.3
 15MAR2000        -0.4       -0.4       -1.1       -1.5
 22MAR2000        -0.8        0.0       -0.8       -1.5
 29MAR2000        -0.4        0.1       -0.6       -1.4
 05APR2000         0.2        0.4       -0.5       -1.4
 12APR2000         0.5        0.2       -0.6       -1.3
 19APR2000         0.6        0.3       -0.7       -1.0
 26APR2000         0.5        0.2       -0.7       -0.9
 03MAY2000         0.2        0.0       -0.9       -1.5
 10MAY2000         0.0        0.0       -0.8       -1.1
 17MAY2000        -0.6       -0.3       -0.7       -0.7
 24MAY2000        -0.3       -0.4       -0.6       -0.8
 31MAY2000        -0.3       -0.4       -0.6       -0.4
 07JUN2000         0.1       -0.5       -0.5       -0.2
 14JUN2000         0.1       -0.2       -0.1        0.1
 21JUN2000         0.0       -0.1       -0.1       -0.2
 28JUN2000        -0.7       -0.4       -0.4       -0.4
 05JUL2000        -1.2       -0.4       -0.3       -0.5
 12JUL2000        -0.7       -0.5       -0.3       -0.3
 19JUL2000        -0.7       -0.6       -0.3       -0.2
 26JUL2000        -0.4       -0.4       -0.5        0.0
 02AUG2000        -0.5       -0.2       -0.3       -0.1
 09AUG2000        -0.7       -0.4       -0.2       -0.2
 16AUG2000        -0.8       -0.5       -0.3       -0.4
 23AUG2000        -0.9       -0.5       -0.4       -0.5
 30AUG2000        -0.9       -0.1       -0.2       -0.3
 06SEP2000        -0.5       -0.2       -0.4       -0.2
 13SEP2000        -0.3       -0.3       -0.4       -0.1
 20SEP2000        -0.3       -0.5       -0.3        0.1
 27SEP2000        -0.5       -0.3       -0.3       -0.4
 04OCT2000        -0.2        0.0       -0.5       -0.7
 11OCT2000        -0.3       -0.4       -0.4       -0.5
 18OCT2000        -0.3       -0.5       -0.5       -0.4
 25OCT2000        -0.6       -0.6       -0.8       -0.6
 01NOV2000        -0.5       -0.6       -0.9       -0.5
 08NOV2000        -0.5       -0.8       -0.9       -0.5
 15NOV2000        -0.8       -0.9       -0.7       -0.3
 22NOV2000        -1.5       -0.9       -0.7       -0.6
 29NOV2000        -0.9       -0.7       -0.7       -0.8
 06DEC2000         0.0       -0.3       -0.9       -1.1
 13DEC2000         0.1       -0.5       -0.8       -1.0
 20DEC2000         0.2       -0.5       -0.9       -1.0
 27DEC2000        -0.7       -0.5       -0.8       -1.1
 03JAN2001        -0.5       -0.5       -0.8       -0.8
 10JAN2001        -0.3       -0.4       -0.8       -0.9
 17JAN2001        -0.2       -0.1       -0.4       -0.7
 24JAN2001        -0.1        0.2       -0.5       -1.0
 31JAN2001        -0.1        0.1       -0.3       -0.9
 07FEB2001         0.2       -0.1       -0.5       -0.9
 14FEB2001        -0.2       -0.2       -0.4       -0.9
 21FEB2001        -0.6        0.1       -0.4       -1.1
 28FEB2001        -0.4        0.3       -0.4       -1.0
 07MAR2001        -0.2        0.6       -0.2       -0.8
 14MAR2001         0.1        0.2       -0.4       -1.0
 21MAR2001         1.1        0.0       -0.4       -0.7
 28MAR2001         1.1        0.1       -0.5       -0.7
 04APR2001         1.1        0.0       -0.4       -0.7
 11APR2001         0.7        0.1       -0.5       -0.6
 18APR2001         0.6        0.0       -0.4       -0.5
 25APR2001        -0.2       -0.2       -0.6       -0.6
 02MAY2001        -0.6       -0.3       -0.8       -0.8
 09MAY2001        -0.3       -0.2       -0.6       -0.5
 16MAY2001        -0.3       -0.2       -0.5       -0.4
 23MAY2001        -0.4       -0.2       -0.4       -0.3
 30MAY2001        -0.3       -0.2       -0.3       -0.2
 06JUN2001        -0.6       -0.3       -0.2       -0.3
 13JUN2001        -0.8       -0.1       -0.1       -0.4
 20JUN2001        -0.7        0.0        0.0       -0.2
 27JUN2001        -0.7       -0.2        0.1        0.0
 04JUL2001        -0.8       -0.5       -0.1        0.3
 11JUL2001        -0.3       -0.3       -0.1        0.2
 18JUL2001        -0.5       -0.2        0.1        0.4
 25JUL2001        -0.5       -0.3        0.0        0.3
 01AUG2001        -0.6       -0.2        0.1        0.3
 08AUG2001        -0.6       -0.1        0.2        0.1
 15AUG2001        -0.4       -0.4       -0.1        0.0
 22AUG2001        -0.5       -0.4        0.0        0.3
 29AUG2001        -0.4       -0.5       -0.2        0.5
 05SEP2001        -0.5       -0.5       -0.1        0.6
 12SEP2001        -0.8       -0.5       -0.1        0.6
 19SEP2001        -0.7       -0.5       -0.2        0.6
 26SEP2001        -0.8       -0.3        0.0        0.5
 03OCT2001        -1.0       -0.4       -0.1        0.4
 10OCT2001        -1.0       -0.3       -0.1        0.4
 17OCT2001        -1.1       -0.3       -0.2        0.2
 24OCT2001        -1.1       -0.5       -0.2        0.4
 31OCT2001        -1.0       -0.6       -0.1        0.5
 07NOV2001        -0.7       -0.8       -0.1        0.8
 14NOV2001        -0.8       -0.9       -0.4        0.3
 21NOV2001        -0.6       -0.9       -0.6        0.0
 28NOV2001        -0.6       -0.8       -0.5        0.2
 05DEC2001        -0.6       -0.6       -0.4        0.0
 12DEC2001        -0.7       -0.7       -0.5        0.0
 19DEC2001        -0.6       -0.5       -0.4        0.3
 26DEC2001        -0.1       -0.3       -0.5        0.0
 02JAN2002        -0.2       -0.4       -0.3        0.3
 09JAN2002        -0.7       -0.7       -0.3        0.4
 16JAN2002        -0.7       -0.6       -0.1        1.0
 23JAN2002        -0.7       -0.6       -0.1        0.7
 30JAN2002        -0.6       -0.6        0.2        0.5
 06FEB2002        -0.1       -0.3        0.3        0.8
 13FEB2002         0.3       -0.3        0.3        0.6
